idHH_clean,salaire_mensuel,hhmilieu2,hhreg,q4a_02,metier_trouve,score_individuel_epm
000000000101,375000.0,1,33,Non,Chauffeur,54.37757923365959
000000000101,550000.0,1,33,Oui,Vendeur,68.2003371671835
000000000102,500000.0,1,33,Non,Ouvrier agricole,51.24901803219111
000000000102,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000102,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000103,550000.0,1,33,Oui,Vendeur,68.2003371671835
000000000103,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000103,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000104,370000.0,1,33,Non,Mécanicien,54.24360019599882
000000000104,500000.0,1,33,Non,Ouvrier agricole,51.24901803219111
000000000104,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000104,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000105,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000105,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000105,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000106,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000106,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000107,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000107,1535000.0,1,33,Oui,Gestionnaire de crédit,78.44482190690525
000000000107,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000108,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000108,716866.0,1,33,Non,Serveur,60.84508857946628
000000000109,550000.0,1,33,Non,Vendeur,58.20033716718349
000000000109,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000109,500000.0,1,33,Non,Ouvrier agricole,41.24901803219111
000000000109,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000109,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000109,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000110,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000110,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000110,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000111,375000.0,1,33,Non,Chauffeur,54.37757923365959
000000000111,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000111,650000.0,1,33,Non,Ouvrier agricole,43.86775385560296
000000000112,370000.0,1,33,Non,Mécanicien,54.24360019599882
000000000112,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000112,650000.0,1,33,Non,Ouvrier agricole,53.86775385560296
000000000201,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000201,550000.0,1,41,Non,Vendeur,58.20033716718349
000000000202,370000.0,1,41,Non,Mécanicien,54.24360019599882
000000000202,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000202,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000202,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000203,375000.0,1,41,Non,Chauffeur,54.37757923365959
000000000203,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000203,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000203,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000203,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000203,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000204,550000.0,1,41,Oui,Vendeur,68.2003371671835
000000000204,550000.0,1,41,Oui,Vendeur,68.2003371671835
000000000205,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000205,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000205,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000205,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000205,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000206,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000206,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000206,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000206,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000206,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000207,550000.0,1,41,Non,Vendeur,58.20033716718349
000000000208,550000.0,1,41,Non,Vendeur,58.20033716718349
000000000208,550000.0,1,41,Oui,Vendeur,68.2003371671835
000000000208,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000208,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000208,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000208,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000209,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000209,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000210,550000.0,1,41,Oui,Vendeur,68.2003371671835
000000000211,500000.0,1,41,Non,Ouvrier agricole,51.24901803219111
000000000211,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000212,425000.0,1,41,Non,Chauffeur,55.626868887956924
000000000212,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000212,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000212,650000.0,1,41,Non,Ouvrier agricole,53.86775385560296
000000000212,650000.0,1,41,Non,Ouvrier agricole,43.86775385560296
000000000301,500000.0,2,62,Oui,Ouvrier agricole,31.249018032191106
000000000301,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000301,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000301,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000302,500000.0,2,62,Oui,Ouvrier agricole,31.249018032191106
000000000302,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000302,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000303,300000.0,2,62,Non,Instituteur public,22.150319759426882
000000000303,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000304,550000.0,2,62,Oui,Vendeur,38.2003371671835
000000000304,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000304,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000305,500000.0,2,62,Oui,Ouvrier agricole,31.249018032191106
000000000305,650000.0,2,62,Oui,Ouvrier agricole,33.86775385560297
000000000306,650000.0,2,62,Oui,Ouvrier agricole,33.86775385560297
000000000306,500000.0,2,62,Non,Ouvrier agricole,21.24901803219111
000000000306,500000.0,2,62,Non,Ouvrier agricole,21.24901803219111
000000000306,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000306,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000306,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000307,550000.0,2,62,Non,Vendeur,28.20033716718349
000000000308,500000.0,2,62,Non,Ouvrier agricole,21.24901803219111
000000000308,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000308,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000309,500000.0,2,62,Oui,Ouvrier agricole,31.249018032191106
000000000309,500000.0,2,62,Non,Ouvrier agricole,11.249018032191106
000000000309,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000309,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000309,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000310,500000.0,2,62,Oui,Ouvrier agricole,31.249018032191106
000000000310,500000.0,2,62,Non,Ouvrier agricole,11.249018032191106
000000000311,550000.0,2,62,Oui,Vendeur,38.2003371671835
000000000312,375000.0,2,62,Non,Chauffeur,24.377579233659592
000000000312,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000312,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000312,650000.0,2,62,Non,Ouvrier agricole,13.867753855602965
000000000401,650000.0,1,41,Oui,Ouvrier agricole,63.86775385560297
