Colonne,Remplissage %,Valeurs uniques,Type,Catégorie remplissage
q4a_00,100.0,15,Numérique,Élevé (>50%)
q4a_01,85.5,2,Texte,Élevé (>50%)
q4a_02,70.2,2,Texte,Élevé (>50%)
q4a_03,51.2,2,Texte,Élevé (>50%)
q4a_96,50.4,2,Texte,Élevé (>50%)
q4a_97,47.9,2,Texte,Moyen (20-50%)
q4a_04,43.3,2,Texte,Moyen (20-50%)
q4a_09,43.2,5,Texte,Moyen (20-50%)
q4a_45,35.1,2,Texte,Moyen (20-50%)
q4a_49c,35.1,2,Texte,Moyen (20-50%)
q4a_49b,35.1,2,Texte,Moyen (20-50%)
q4a_49a,35.1,2,Texte,Moyen (20-50%)
q4a_49,35.1,26,Numérique,Moyen (20-50%)
q4a_47,35.1,2,Texte,Moyen (20-50%)
q4a_41,35.1,65,Texte,Moyen (20-50%)
q4a_43,35.1,2,Texte,Moyen (20-50%)
q4a_42,35.1,13,Texte,Moyen (20-50%)
q4a_49d,35.1,2,Texte,Moyen (20-50%)
q4a_39,35.1,3,Texte,Moyen (20-50%)
q4a_38,35.1,3,Texte,Moyen (20-50%)
q4a_40,35.1,5,Texte,Moyen (20-50%)
q4a_69,35.1,117,Texte,Moyen (20-50%)
q4a_51,35.1,2,Texte,Moyen (20-50%)
q4a_53,35.1,4,Texte,Moyen (20-50%)
q4a_36,35.1,9,Texte,Moyen (20-50%)
q4a_72,35.1,2,Texte,Moyen (20-50%)
q4a_73,35.1,2,Texte,Moyen (20-50%)
q4a_75,35.1,125,Texte,Moyen (20-50%)
q4a_83,35.1,2,Texte,Moyen (20-50%)
q4a_84,35.1,2,Texte,Moyen (20-50%)
q4a_87,35.1,2,Texte,Moyen (20-50%)
q4a_89,35.1,2,Texte,Moyen (20-50%)
q4a_93a,35.1,2,Texte,Moyen (20-50%)
q4a_93b,35.1,2,Texte,Moyen (20-50%)
q4a_37,35.1,6,Texte,Moyen (20-50%)
q4a_49e,35.1,2,Texte,Moyen (20-50%)
q4a_20,35.1,3,Texte,Moyen (20-50%)
q4a_19c,35.1,10,Numérique,Moyen (20-50%)
q4a_19b,35.1,9,Numérique,Moyen (20-50%)
q4a_17,35.1,4,Numérique,Moyen (20-50%)
q4a_19a,35.1,93,Numérique,Moyen (20-50%)
q4a_19,35.1,434,Numérique,Moyen (20-50%)
q4a_18,35.1,7502,Texte,Moyen (20-50%)
q4a_23,35.1,386,Texte,Moyen (20-50%)
q4a_24,35.1,5,Texte,Moyen (20-50%)
