Colonne;Type;Non-Null;% Présent;Unique;Min;Max;Moyenne;Exemples
q4a_00;int64;67969;100.0;15;1;15;1.59;[1, 2, 1]
q4a_01;str;58136;85.5;2;-;-;-;['Oui', 'Non', 'Oui']
q4a_02;str;47739;70.2;2;-;-;-;['Oui', 'Non', 'Oui']
q4a_03;str;34827;51.2;2;-;-;-;['Non', 'Non', 'Oui']
q4a_96;str;34250;50.4;2;-;-;-;['Non', 'Non', 'Non']
q4a_97;str;32531;47.9;2;-;-;-;['Non', 'Non', 'Non']
q4a_04;str;29439;43.3;2;-;-;-;['Non', 'Non', 'Non']
q4a_09;str;29350;43.2;5;-;-;-;['Aucun des quatre ci-dessus', 'Aucun des quatre c...
q4a_45;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_49c;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_49b;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_49a;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_49;float64;23886;35.1;26;11112.0;22222.0;22019.63;[22222.0, 22222.0, 22222.0]
q4a_47;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_41;str;23886;35.1;65;-;-;-;['2022.0', '2021.0', '2022.0']
q4a_43;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_42;str;23886;35.1;13;-;-;-;['1.0', '12.0', '1.0']
q4a_49d;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_39;str;23886;35.1;3;-;-;-;['Non', 'Non', 'Non']
q4a_38;str;23886;35.1;3;-;-;-;['Non', 'Non', 'Non']
q4a_40;str;23886;35.1;5;-;-;-;"[""Il n'y a aucun enregistrement fait ni conservÃ© ..."
q4a_69;str;23886;35.1;117;-;-;-;['30.0', '30.0', '30.0']
q4a_51;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_53;str;23886;35.1;4;-;-;-;['TrÃ¨s insatisfait', 'TrÃ¨s insatisfait', 'PlutÃ´...
q4a_36;str;23886;35.1;9;-;-;-;['Dans la rue ou dans un autre espace public sans ...
q4a_72;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_73;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_75;str;23886;35.1;125;-;-;-;['26.0', '30.0', '30.0']
q4a_83;str;23886;35.1;2;-;-;-;['Oui', 'Oui', 'Oui']
q4a_84;str;23886;35.1;2;-;-;-;['Non', 'Oui', 'Oui']
q4a_87;str;23886;35.1;2;-;-;-;['Oui', 'Oui', 'Oui']
q4a_89;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_93a;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_93b;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_37;str;23886;35.1;6;-;-;-;['Une personne', 'Entre 2 et 4 personnes', 'Entre ...
q4a_49e;str;23886;35.1;2;-;-;-;['Non', 'Non', 'Non']
q4a_20;str;23886;35.1;3;-;-;-;['Entreprise sans nom', 'Entreprise sans nom', 'En...
q4a_19c;float64;23865;35.1;10;0.0;9.0;1.97;[5.0, 1.0, 4.0]
q4a_19b;float64;23869;35.1;9;0.0;9.0;1.95;[1.0, 1.0, 1.0]
q4a_17;float64;23886;35.1;4;1.0;4.0;1.1;[1.0, 1.0, 1.0]
q4a_19a;float64;23872;35.1;93;0.0;9333.0;70.28;[9.0, 9.0, 6.0]
q4a_19;float64;23870;35.1;434;9.0;9700.0;6909.79;[9151.0, 9112.0, 6142.0]
q4a_18;str;23886;35.1;7502;-;-;-;['MPITONDRA ENTANA', 'MIVAROTRA VONINKAZO MITETY',...
q4a_23;str;23886;35.1;386;-;-;-;['H5229 ', 'G4799 ', 'A0220 ']
q4a_24;str;23886;35.1;5;-;-;-;['En tant que salariÃ©', 'Pour votre propre entrep...
q4a_19d;float64;23847;35.1;10;0.0;9.0;1.38;[1.0, 2.0, 2.0]
q4a_230;str;22944;33.8;30;-;-;-;['H', 'G', 'A']
q4a_23b;float64;22920;33.7;10;0.0;9.0;2.65;[2.0, 9.0, 2.0]
q4a_22;str;22937;33.7;7106;-;-;-;['MPITONDRA ENTANA', 'FIVAROTANA VONINKAZO', 'FANA...
q4a_23a;float64;22925;33.7;92;0.0;99.0;28.73;[52.0, 47.0, 2.0]
q4a_23c;float64;22898;33.7;10;0.0;9.0;2.44;[9.0, 9.0, 0.0]
q4a_46b;str;21199;31.2;4;-;-;-;['Jour', 'Jour', 'Mois']
q4a_46c;str;21199;31.2;3;-;-;-;['Non concernÃ©', 'Non concernÃ©', 'Non concernÃ©'...
q4a_10;str;18389;27.1;5;-;-;-;['Aucun des quatre ci-dessus', 'Aucun des quatre c...
q4a_11;str;13252;19.5;5;-;-;-;"[""Uniquement pour l'usage familial"", 'Principaleme..."
q4a_26;str;12052;17.7;2;-;-;-;['Non', 'Non', 'Non']
q4a_35;str;11708;17.2;3;-;-;-;['Non', 'Non', 'Non']
q4a_33;str;11708;17.2;3;-;-;-;['Non', 'Non', 'Non']
q4a_32a;str;11708;17.2;4;-;-;-;['Aucun', 'Aucun', 'Aucun']
q4a_32;str;11708;17.2;3;-;-;-;['Non', 'Non', 'Non']
q4a_29;str;11708;17.2;4;-;-;-;['Oui, contrat verbal', 'Oui, contrat verbal', 'Ou...
q4a_27;str;10487;15.4;7;-;-;-;['Entreprise privÃ©e (non agricole)', 'Entreprise ...
q4a_28;str;10487;15.4;44;-;-;-;['7', '5', '7']
q4a_88;str;8844;13.0;9;-;-;-;['Avoir un emploi mieux rÃ©munÃ©rÃ©s', 'Avoir un e...
