code_q4a_23,frequence
A0011 ,1
A0110 ,9
A0111 ,676
A0112 ,2750
A0113 ,832
A0114 ,19
A0115 ,29
A0116 ,5
A0118 ,1
A0119 ,30
A0120 ,1
A0121 ,1
A0122 ,17
A0123 ,3
A0124 ,10
A0125 ,22
A0127 ,44
A0128 ,386
A0129 ,32
A0130 ,5
A0141 ,261
A0142 ,6
A0144 ,21
A0145 ,183
A0146 ,182
A0149 ,16
A0150 ,454
A0160 ,3
A0161 ,3775
A0162 ,6
A0163 ,6
A0164 ,1
A0171 ,17
A0191 ,1
A0210 ,32
A0212 ,1
A0220 ,202
A0228 ,1
A0230 ,4
A0240 ,3
A0311 ,323
A0312 ,182
A0321 ,18
A0322 ,14
A0711 ,1
A1111 ,1
A1112 ,1
A1120 ,1
A1141 ,1
A1611 ,1
A1621 ,1
A3111 ,3
AO111 ,2
B0279 ,2
B0610 ,1
B0710 ,9
B0721 ,1
B0729 ,784
B0810 ,153
B0891 ,2
B0893 ,3
B0899 ,85
B0910 ,2
B8993 ,4
C0104 ,1
C0139 ,1
C1010 ,4
C1020 ,10
C1030 ,16
C1040 ,16
C1050 ,24
C1061 ,47
C1062 ,3
C1071 ,112
C1072 ,7
C1073 ,1
C1074 ,5
C1075 ,9
C1076 ,7
C1077 ,3
C1078 ,7
C1079 ,17
C1101 ,77
C1103 ,18
C1104 ,15
C1200 ,8
C1271 ,1
C1311 ,26
C1312 ,82
C1313 ,10
C1391 ,3
C1392 ,36
C1393 ,171
C1394 ,11
C1399 ,13
C1410 ,303
C1411 ,1
C1420 ,5
C1430 ,1
C1511 ,4
C1512 ,5
C1520 ,11
C1610 ,24
C1621 ,4
C1622 ,18
C1629 ,170
C1702 ,1
C1709 ,1
C1811 ,4
C1812 ,3
C1920 ,2
C2012 ,1
C2022 ,2
C2023 ,7
C2029 ,47
C2100 ,7
C2219 ,1
C2220 ,11
C2391 ,2
C2392 ,11
C2395 ,6
C2396 ,3
C2399 ,2
C2410 ,1
C2420 ,4
C2431 ,4
C2432 ,1
C2511 ,44
C2512 ,1
C2591 ,16
C2592 ,6
C2593 ,23
C2599 ,19
C2620 ,1
C2710 ,1
C2730 ,1
C2740 ,2
C2829 ,1
C2910 ,2
C2930 ,2
C3011 ,6
C3012 ,1
C3091 ,1
C3099 ,6
C3100 ,134
C3211 ,14
C3212 ,2
C3220 ,1
C3250 ,1
C3290 ,37
C3311 ,1
C3312 ,1
C3314 ,7
C3315 ,4
C3492 ,1
D3410 ,1
D3510 ,25
D3520 ,1
E3600 ,47
E3700 ,6
F4100 ,741
F4110 ,1
F4210 ,30
F4220 ,7
F4290 ,3
F4312 ,1
F4321 ,12
F4322 ,7
F4329 ,2
F4330 ,13
F4390 ,7
G4510 ,12
G4519 ,1
G4520 ,122
G4530 ,29
G4540 ,27
G4549 ,9
G4610 ,19
G4620 ,152
G4630 ,55
G4641 ,4
G4649 ,15
G4652 ,1
G4659 ,1
G4661 ,7
G4662 ,15
G4663 ,14
G4669 ,3
G4690 ,8
G4711 ,480
G4714 ,1
G4719 ,27
G4721 ,499
G4722 ,27
G4723 ,1
G4730 ,16
G4741 ,25
G4742 ,4
G4751 ,22
G4752 ,26
G4753 ,2
G4759 ,47
G4761 ,9
G4762 ,1
G4764 ,1
G4770 ,1
G4771 ,152
G4772 ,49
G4773 ,80
G4774 ,14
G4779 ,3
G4780 ,1
G4781 ,742
G4782 ,224
G4789 ,302
G4791 ,13
G4799 ,108
G4922 ,1
H4911 ,5
H4912 ,2
H4921 ,352
H4922 ,172
H4929 ,290
H4930 ,10
H4992 ,1
H5011 ,11
H5012 ,16
H5021 ,15
H5110 ,9
H5210 ,8
H5211 ,1
H5221 ,3
H5222 ,3
H5224 ,231
H5229 ,3
H5310 ,3
H5320 ,5
I5060 ,1
I5510 ,59
I5590 ,5
I5610 ,791
I5611 ,1
I5621 ,4
I5629 ,28
I5630 ,78
I5651 ,1
J5813 ,1
J5819 ,2
J5821 ,1
J5911 ,2
J5913 ,1
J5914 ,2
J5920 ,7
J6010 ,2
J6020 ,2
J6110 ,6
J6120 ,19
J6130 ,8
J6190 ,17
J6201 ,6
J6202 ,6
J6209 ,11
J6311 ,3
J6312 ,4
J6391 ,1
J6399 ,15
K6411 ,3
K6419 ,72
K6420 ,5
K6430 ,1
K6492 ,3
K6499 ,2
K6511 ,2
K6512 ,2
K6611 ,2
K6619 ,6
K6621 ,1
K6629 ,1
K6630 ,4
K6919 ,2
L6810 ,11
L6820 ,12
M6910 ,10
M6920 ,12
M7020 ,4
M7110 ,7
M7120 ,2
M7210 ,3
M7320 ,2
M7410 ,6
M7420 ,5
M7490 ,22
M7500 ,6
N7490 ,1
N7710 ,3
N7810 ,2
N7911 ,13
N7912 ,2
N7990 ,1
N8010 ,178
N8012 ,1
N8020 ,3
N8121 ,2
N8130 ,1
N8211 ,15
N8219 ,19
N8220 ,15
N8299 ,8
N8411 ,5
O0842 ,1
O8010 ,1
O8411 ,169
O8412 ,25
O8413 ,4
O8421 ,2
O8422 ,89
O8423 ,81
O8430 ,27
O8431 ,1
O8521 ,1
O8610 ,1
P8051 ,1
P8411 ,1
P8510 ,509
P8520 ,1
P8521 ,349
P8522 ,17
P8530 ,28
P8542 ,2
P8549 ,27
P8550 ,32
P8910 ,1
Q8411 ,2
Q8610 ,107
Q8620 ,23
Q8690 ,92
Q8710 ,14
Q8720 ,2
Q8730 ,1
Q8790 ,10
Q8810 ,1
Q8891 ,12
Q8892 ,3
Q8894 ,1
Q8897 ,1
Q8898 ,1
Q8899 ,3
R9000 ,15
R9102 ,1
R9103 ,2
R9200 ,7
R9311 ,1
R9312 ,6
R9318 ,1
R9319 ,1
R9321 ,2
R9329 ,7
S6311 ,1
S8690 ,2
S9309 ,1
S9411 ,4
S9491 ,60
S9495 ,2
S9496 ,1
S9498 ,5
S9499 ,1
S9511 ,7
S9512 ,18
S9521 ,36
S9523 ,4
S9529 ,28
S9601 ,322
S9602 ,58
S9603 ,2
S9606 ,1
S9609 ,238
S9700 ,3
S9820 ,1
T0970 ,2
T9601 ,2
T9620 ,1
T9700 ,935
T9810 ,7
T9820 ,38
U9900 ,35
U9990 ,1
