valeur_q4a_54,frequence
7113.0,8
9133.0,9
6111.0,102
6111.0,103
6111.0,107
6111.0,108
6152.0,124
5230.0,142
5230.0,155
6210.0,328
6210.0,330
6152.0,332
6152.0,360
2460.0,366
7113.0,398
9112.0,409
6112.0,514
6112.0,515
7415.0,661
7413.0,697
6112.0,815
6112.0,816
6210.0,1023
6111.0,1101
6111.0,1102
6111.0,1113
6111.0,1114
6210.0,1231
6210.0,1508
6152.0,1509
7421.0,1513
6121.0,1515
6210.0,1518
6121.0,1519
6210.0,1527
5220.0,1531
6210.0,1532
6210.0,1542
6210.0,1545
6210.0,1546
9112.0,1596
6152.0,1734
6210.0,1924
6210.0,1925
6210.0,1928
6210.0,1929
6210.0,1936
6210.0,1937
9211.0,1957
9211.0,1958
6210.0,1960
6210.0,1961
6210.0,1962
6210.0,1968
7111.0,2072
9333.0,2097
9131.0,2172
6211.0,2188
5230.0,2239
921.0,2240
9211.0,2241
6210.0,2249
6210.0,2250
921.0,2252
6210.0,2261
921.0,2265
6210.0,2267
6210.0,2274
6219.0,2275
921.0,2278
921.0,2279
6210.0,2288
3241.0,2342
6210.0,2368
9115.0,2420
6121.0,2519
6210.0,2520
6122.0,2530
6121.0,2538
6121.0,2541
6210.0,2544
6210.0,2545
5230.0,2625
7122.0,2726
7422.0,2730
9211.0,2760
7421.0,2792
4215.0,2910
9313.0,3147
6210.0,3157
6121.0,3165
9211.0,3210
8321.0,3336
6210.0,3438
6210.0,3439
6210.0,3454
7214.0,3464
6210.0,3465
6210.0,3474
9111.0,3645
9211.0,3958
9211.0,3976
9211.0,3979
6210.0,4063
6211.0,4131
9211.0,4137
6211.0,4153
5230.0,4195
7422.0,4197
8321.0,4250
6210.0,4256
6210.0,4257
5220.0,4276
7411.0,4308
6111.0,4340
6210.0,4379
7111.0,4395
6210.0,4412
6121.0,4415
6121.0,4418
6121.0,4423
6121.0,4429
6122.0,4430
6121.0,4432
6210.0,4433
6210.0,4438
6121.0,4449
6210.0,4450
6210.0,4453
6142.0,4521
5230.0,4536
7128.0,4788
5230.0,4789
6121.0,5006
7111.0,5011
5230.0,5049
6210.0,5069
6121.0,5151
9211.0,5390
7424.0,5415
9211.0,5421
6210.0,5477
6210.0,5543
9211.0,5566
9211.0,5572
6210.0,5586
6210.0,5587
9211.0,5588
6211.0,5589
9211.0,5590
6210.0,5591
9211.0,5592
6210.0,5596
9211.0,5602
6210.0,5615
6210.0,5759
7231.0,5832
9211.0,5842
9152.0,5861
9212.0,5889
6210.0,5892
9331.0,6033
9133.0,6070
6210.0,6137
9211.0,6144
9211.0,6145
9112.0,6165
9211.0,6166
9211.0,6167
6210.0,6173
6210.0,6193
6210.0,6199
7412.0,6203
6210.0,6206
9211.0,6213
6210.0,6214
9211.0,6218
6210.0,6231
6210.0,6232
6210.0,6530
6210.0,6537
6210.0,6542
6210.0,6569
6210.0,6595
1315.0,6623
6111.0,6661
6111.0,6662
6111.0,6674
6111.0,6679
6111.0,6680
6111.0,6687
6111.0,6698
6210.0,6722
6210.0,6723
6121.0,6726
6121.0,6727
6210.0,6735
