metier_original,occurrences,mots_malgache,mots_francais
MAMBOLY VARY,2333,"mam, var, vary, mboly",
SARAKA ANTSAHA,1996,,
MPAMBOLY VARY,1642,"var, vary, mboly, mpam",
SARAKANTSAHA,1607,,
SARAKATSAHA,1561,,
MANASA LAMBA,821,"man, lamba",
MITRANDRAKA VOLAMENA,618,,
MPANASA LAMBA,527,"lamba, mpan",
MPITRANDRAKA VOLAMENA,457,mpi,
MACON,424,,
MANAO SARAKA ANTSAHA,420,man,
GARDIEN,405,,
SARAK'ANTSAHA,375,,
DOMESTIQUE,350,,
MPAMBOLY,348,"mboly, mpam",
MANAO SARAKANTSAHA,338,man,
MAMBOLY,324,"mam, mboly",
MPAMPIANATRA,303,"mpi, mpam",
CHAUFFEUR,271,,chauffeur
MAMBOLY MANGAHAZO,255,"mam, man, mboly",
MANOEUVRE AGRICOLE,250,man,
MANDRARY TSIHY,247,man,
DOKERA,244,,
MPANAMPY ANTRANO,241,"trano, rano, mpan",
MPAMBOLY VARY MADINIKA,240,"var, vary, mboly, mpam",
MAMBOLY ANANA,216,"mam, mboly",
MIOMPY KISOA,216,,
MACHINISTE,214,,
MIVAROTRA CHARBON,214,"miv, var",
MECANICIEN,206,,
SARANKATSAHA,206,,
FEMME DE MENAGE,199,,
SARAKA AN-TSAHA,196,,
MANAMPY MITRANDRAKA VOLAMENA,179,man,
MIASA TRANO,174,"trano, rano",
MPIASA ANTRANO,171,"mpi, trano, rano",
MPANJONO,166,mpan,
MPAMBOLY VANILLE,160,"mboly, mpam",
MAMPIANATRA,159,"mpi, mam",
MIVAROTRA TRONDRO,155,"miv, var",
MAMBOLY VOANJO,154,"mam, mboly",
MIVAROTRA ANANA,153,"miv, var",
MANOEUVRE,152,man,
MIANDRY OMBY,150,omby,
MIVAROTRA LEGUME,148,"miv, var",
MANAO SARAKATSAHA,147,man,
DOCKER,144,,
MIVAROTRA,141,"miv, var",
MANJONO,140,man,
SECURITE,138,,
MANIVANA VOLAMENA,132,man,
MANDRARY,131,man,
MPIANDRY OMBY,131,"mpi, omby",
EPICERIE,130,,
MAMBOLY VANILLE,129,"mam, mboly",
MPANAO SARAKANTSAHA,129,mpan,
MAMBOLY TONGOLO,128,"mam, mboly",
MIVAROTRA EPICERIE,128,"miv, var",
MPANAO SARAKA ANTSAHA,123,mpan,
MPANAMPY FIANAKAVIANA @ FAMBOLENA VARY,115,"var, famb, vary, mpan",
MIVAROTRA PPN,115,"miv, var",
MAMBOLY KATSAKA,114,"mam, katsaka, mboly",
COMPTABLE,114,,comptable
MANAMPY MAMBOLY VARY,113,"mam, man, var, vary, mboly",
MIASA ANTRANO,113,"trano, rano",
GENDARME,109,,
MPIVAROTRA TRONDRO,106,"mpi, var",
MPAMBOLY LA VANILLE,104,"mboly, mpam",
MIVAROTRA VOANKAZO,103,"miv, var",
MAMBOLY VARY SY MANGAHAZO,102,"mam, man, var, vary, mboly",
MAçON,101,,maçon
SARAN-KATSAHA,99,,
MIOMPY OMBY,96,omby,
MANAO SARAK'ANTSAHA,95,man,
MIARAMILA,94,,
MPAMBOLY MANGAHAZO,94,"man, mboly, mpam",
Maçon,94,,maçon
MIOMPY AKOHO,94,akoho,
MPAMBOLY VOANJO,93,"mboly, mpam",
FAMBOLENA,93,famb,
FAMBOLENA VARY,91,"var, famb, vary",
MPANDRARY,90,mpan,
MPAMBOLY MADINIKA (VARY),89,"var, vary, mboly, mpam",
JARDINIER,88,,
MPIVAROTRA,88,"mpi, var",
MIVAROTRA VARY,86,"miv, var, vary",
LA BONNE,86,,
SAGE FEMME,85,,
MPIVAROTRA EPICERIE,84,"mpi, var",
MPIVAROTRA KITAY,84,"mpi, var",
CHAUFFEUR BAJAJ,84,,chauffeur
ASA VOLAMENA,84,,
MIVAROTRA LAMBA,84,"miv, var, lamba",
MPANJONO TRONDRO,84,mpan,
MPAMPIANATRA EPP,83,"mpi, mpam",
MPANDRARY TSIHY,82,mpan,
AIDE CHAUFFEUR,80,,chauffeur
MPIVAROTRA CHARBON,80,"mpi, var",
MIVAROTRA KITAY,79,"miv, var",
SERVEUSE,79,,
SARAKATSAHY,79,,
MAMPIANATRA AMIN'NY EPP,78,"mpi, mam",
MPANJAITRA,78,mpan,
MPIOMPY KISOA,78,mpi,
MPITARIKA POSY,78,mpi,
MANAO TENINA,77,man,
MIVAROTRA SAKAFO MASAKA,77,"miv, var",
MPANAO TRANO,77,"trano, rano, mpan",
MANARATO,77,man,
GARGOTTE,73,,
