Top 100 mots-clés de q4a_18
============================================================

mivarotra            : 900
sy                   : 710
mamboly              : 467
mpivarotra           : 452
vary                 : 405
de                   : 313
manao                : 299
mpamboly             : 246
amin'ny              : 190
mpampianatra         : 178
manampy              : 176
ao                   : 153
@                    : 151
manamboatra          : 147
mpanao               : 147
ny                   : 146
mofo                 : 144
trano                : 117
mangahazo            : 112
chauffeur            : 111
aminy                : 111
fambolena            : 106
mikarama             : 106
mampianatra          : 97
vanille              : 96
lamba                : 91
entana               : 90
amin                 : 88
mpanamboatra         : 87
la                   : 87
mpanampy             : 85
trondro              : 85
namboly              : 85
miasa                : 83
katsaka              : 83
akoho                : 81
omby                 : 79
epp                  : 75
madinika             : 69
volamena             : 66
agent                : 63
gasy                 : 61
anana                : 60
miompy               : 58
hazo                 : 58
chef                 : 56
responsable          : 55
vato                 : 54
taxi                 : 52
en                   : 52
eny                  : 52
charbon              : 51
saraka               : 50
gardien              : 49
aide                 : 49
voanjo               : 48
cafe                 : 47
et                   : 47
am                   : 46
mitondra             : 46
asa                  : 46
secretaire           : 46
mpiasa               : 45
masaka               : 45
epicerie             : 45
manoeuvre            : 44
kisoa                : 43
ary                  : 43
fianakaviana         : 42
sarakatsaha          : 41
tany                 : 40
mikarakara           : 40
mandehandeha         : 40
olona                : 39
maka                 : 39
lycee                : 39
tsaramaso            : 38
mpitondra            : 37
ecole                : 37
legume               : 36
ceg                  : 36
prive                : 36
mpiompy              : 35
primaire             : 35
fanaka               : 35
mandrary             : 34
miantoka             : 34
comptable            : 34
manjono              : 33
des                  : 33
toaka                : 33
vert                 : 33
any                  : 33
tsihy                : 32
securite             : 32
tongolo              : 32
jirofo               : 32
sakafo               : 31
zone                 : 31
haricot              : 31
