metier_original,occurrences,traduction_fr,est_malgache
MAMBOLY VARY,2333,PLANTATION DE RIZ,True
SARAKA ANTSAHA,1996,À MOITIÉ SÉPARÉ,True
MPAMBOLY VARY,1642,RIZICULTEURS,True
SARAKANTSAHA,1607,SARAKANTASAH,True
SARAKATSAHA,1561,SARAKATSAHA,True
MANASA LAMBA,821,LAVER LES VÊTEMENTS,True
MITRANDRAKA VOLAMENA,618,Exploitation minière de l'or,True
MPANASA LAMBA,527,LAVE-LINGE,True
MPITRANDRAKA VOLAMENA,457,MINEUR D'OR,True
MACON,424,Mâcon,True
MANAO SARAKA ANTSAHA,420,MOITIÉ SÉPARÉE,True
GARDIEN,405,TUTEUR,True
SARAK'ANTSAHA,375,SÉPARÉ,True
DOMESTIQUE,350,DOMESTIQUE,True
MPAMBOLY,348,FERMIER,True
MANAO SARAKANTSAHA,338,PARTEZ À L'AVENTURE,True
MAMBOLY,324,PLANTATION,True
MPAMPIANATRA,303,PROFESSEUR,True
CHAUFFEUR,271,CONDUCTEUR,True
MAMBOLY MANGAHAZO,255,PLANTER DES ARBRES,True
MANOEUVRE AGRICOLE,250,MANŒUVRE AGRICOLE,True
MANDRARY TSIHY,247,LE TAPIS FAIT MAL,True
DOKERA,244,MÉDECIN,True
MPANAMPY ANTRANO,241,AUXILIAIRE,True
MPAMBOLY VARY MADINIKA,240,PETITS RIZICULTEURS,True
MAMBOLY ANANA,216,CULTIVER DES LÉGUMES,True
MIOMPY KISOA,216,ÉLEVAGE PORCIN,True
MACHINISTE,214,MACHINIST,True
MIVAROTRA CHARBON,214,CARBONE À VENDRE,True
MECANICIEN,206,MÉCANICIEN,True
SARANKATSAHA,206,CARACTÉRISTIQUES,True
FEMME DE MENAGE,199,FEMME DE MÉNAGE,True
SARAKA AN-TSAHA,196,SÉPARÉ SUR LE TERRAIN,True
MANAMPY MITRANDRAKA VOLAMENA,179,AIDER À CREER L'OR,True
MIASA TRANO,174,DEVOIRS,True
MPIASA ANTRANO,171,AIDE LES TRAVAILLEURS,True
MPANJONO,166,PÊCHEUR,True
MPAMBOLY VANILLE,160,PRODUCTEUR DE VANILLE,True
MAMPIANATRA,159,ENSEIGNEMENT,True
MIVAROTRA TRONDRO,155,VENDRE DU POISSON,True
MAMBOLY VOANJO,154,PLANTATION D'ARACHIDES,True
MIVAROTRA ANANA,153,VENDRE DES LÉGUMES,True
MANOEUVRE,152,MANŒUVRE,True
MIANDRY OMBY,150,EN ATTENDANT LES VACHES,True
MIVAROTRA LEGUME,148,VENDRE DES LÉGUMES,True
MANAO SARAKATSAHA,147,FAIRE LA DIFFÉRENCE,True
DOCKER,144,DOCKER,True
MIVAROTRA,141,VENTE,True
MANJONO,140,PÊCHE,True
SECURITE,138,SÉCURITÉ,True
MANIVANA VOLAMENA,132,LE PIN POUR L'OR,True
MANDRARY,131,Ça fait mal,True
MPIANDRY OMBY,131,ÉLEVEUR DE VACHES,True
EPICERIE,130,MAGASIN ÉPIQUE,True
MAMBOLY VANILLE,129,CULTIVER LA VANILLE,True
MPANAO SARAKANTSAHA,129,VOYAGEUR,True
MAMBOLY TONGOLO,128,PLANTEZ DES PLANTES,True
MIVAROTRA EPICERIE,128,VENDRE UN MAGASIN ÉPIQUE,True
MPANAO SARAKA ANTSAHA,123,FABRICANT DE SÉPARATION,True
MPANAMPY FIANAKAVIANA @ FAMBOLENA VARY,115,AIDE FAMILIALE @ FAMBOLENA VARY,True
MIVAROTRA PPN,115,VENDRE des PPN,True
MAMBOLY KATSAKA,114,PLANT DU MAÏS,True
COMPTABLE,114,RESPONSABLE,True
MANAMPY MAMBOLY VARY,113,AIDEZ À PLANTER LE RIZ,True
MIASA ANTRANO,113,AIDE AU TRAVAIL,True
GENDARME,109,GENDARME,True
MPIVAROTRA TRONDRO,106,VENDEUR DE POISSON,True
MPAMBOLY LA VANILLE,104,PRODUCTEUR DE VANILLE LA,True
MIVAROTRA VOANKAZO,103,VENDRE DES LÉGUMES,True
MAMBOLY VARY SY MANGAHAZO,102,PLANTATION DE RIZ ET RÉCOLTE,True
MAçON,101,Mâcon,True
SARAN-KATSAHA,99,FRAIS DE TERRAIN,True
MIOMPY OMBY,96,BÉTAIL DE RACE,True
MANAO SARAK'ANTSAHA,95,FAIRE LA DIFFÉRENCE,True
MIARAMILA,94,SOLDAT,True
MPAMBOLY MANGAHAZO,94,AGRICULTEUR D'ARBRES,True
Maçon,94,Maçon,True
MIOMPY AKOHO,94,ÉLEVER LE POULET,True
MPAMBOLY VOANJO,93,PRODUCTEUR D'ARACHIDES,True
FAMBOLENA,93,PLANTATION,True
FAMBOLENA VARY,91,CULTURE DU RIZ,True
MPANDRARY,90,PEINTRE,True
MPAMBOLY MADINIKA (VARY),89,PETITS AGRICULTEURS (RIZ),True
JARDINIER,88,JARDINIER,True
MPIVAROTRA,88,VENDEUR,True
MIVAROTRA VARY,86,VENDRE DU RIZ,True
LA BONNE,86,LE BON,True
SAGE FEMME,85,SAUGE FEMELLE,True
MPIVAROTRA EPICERIE,84,ÉPICERIE,True
MPIVAROTRA KITAY,84,Négociant en bois,True
CHAUFFEUR BAJAJ,84,BAJAJ CHAUFFEUR,True
ASA VOLAMENA,84,TRAVAIL D'OR,True
MIVAROTRA LAMBA,84,VENTE DE TISSU,True
MPANJONO TRONDRO,84,PÊCHEUR,True
MPAMPIANATRA EPP,83,ENSEIGNANT PPE,True
MPANDRARY TSIHY,82,PEINTRE DE TAPIS,True
AIDE CHAUFFEUR,80,ASSISTANT CHAUFFEUR,True
MPIVAROTRA CHARBON,80,REVENDEURS DE CARBONE,True
MIVAROTRA KITAY,79,VENDRE DU BOIS DE CHAUFFAGE,True
SERVEUSE,79,SERVEUR,True
SARAKATSAHY,79,SARAKASATHY,True
MAMPIANATRA AMIN'NY EPP,78,ENSEIGNEMENT EN EPP,True
MPANJAITRA,78,TAILLEUR,True
MPIOMPY KISOA,78,ÉLEVEURS DE PORCS,True
MPITARIKA POSY,78,Un conducteur de pousse-pousse,True
MANAO TENINA,77,FAIRE DES MOTS,True
MIVAROTRA SAKAFO MASAKA,77,VENDRE DES ALIMENTS CUISINÉS,True
MPANAO TRANO,77,CONSTRUCTEURS DE MAISONS,True
MANARATO,77,PÊCHE,True
GARGOTTE,73,GARGOTTE,True
MPIASA TRANO,72,TRAVAILLEURS MÉNAGERS,True
AGENT DE SECURITE,71,AGENT DE SÉCURITÉ,True
MANAO CHARBON,71,FAIRE DU CARBONE,True
MITARIKA POSY,71,CONDUIRE UN Pousse-pousse,True
MPIASA AN-TRANO,71,TRAVAILLEURS DOMESTIQUE,True
MPANAMPY AN-TRANO,69,AIDE MENAGERE,True
MANIVA VOLAMENA,69,DÉFINIR L'OR,True
SECRETAIRE,68,SECRÉTAIRE,True
MANAO TRANO,68,CONSTRUIRE UNE MAISON,True
MPIVAROTRA ANANA,67,VENDEUR DE LÉGUMES,True
MPANAMPY,66,AUXILIAIRE,True
MPIVAROTRA VARY,65,VENDEUR DE RIZ,True
MPAMBOLY VOANEMBA,65,PRODUCTEUR DE POMMES DE TERRE,True
MPANJONO ANDRANOMASINA,65,PÊCHEUR EN MER,True
MPAMBOLY KATSAKA,64,PRODUCTEURS DE MAÏS,True
MANJAITRA,62,COUTURE,True
MAMBOLY VARY...,62,PLANTATION DE RIZ...,True
MANAO EPICERIE,62,CRÉER UN MAGASIN ÉPIQUE,True
DOKER,60,"ERREUR: the JSON object must be str, b",True
JOURNALIER,60,JOURNALISTE,True
MPIVAROTRA LAMBA,59,MARCHAND DE TISSUS,True
NAMBOLY VARY,59,RIZ PLANTÉ,True
MIVAROTRA FRIPERIE,58,VENTE DE FRITERIES,True
CHAUFFEUR TAXI BROUSSE,57,CHAUFFEUR DE TAXI À BRUXELLES,True
DEMARCHEUR,56,DEMARCHEUR,True
MPAMBOLY ANANA,56,PRODUCTEUR DE LÉGUMES,True
MPANDRAFITRA FANAKA,56,CHARPENTIER DE MEUBLES,True
MPANJONO AN-DRANOMASINA,56,PÊCHEUR EN MER,True
CHAUFFEUR CAMION,56,CHAUFFEUR DE CAMION,True
FIVAROTANA,55,VENTES,True
MAMBOLY TSARAMASO,54,CULTURE DU SUCRE,True
MIASA TANY,53,TRAVAIL SUR LA TERRAIN,True
MANJONO TRONDRO,53,PÊCHE,True
MPIVAROTRA VOAMAINA,53,Négociant en grains,True
ELECTRICIEN,53,ÉLECTRICIEN,True
MAMBOLY VARY SY KATSAKA,52,CULTURE DU RIZ ET DU MAÏS,True
KIBAROA,52,KIBARA,True
MATSAKA RANO,52,BEAUCOUP D'EAU,True
MANAMBOATRA TRANO,52,RÉPARER UNE MAISON,True
MPANAO CHARBON,51,FABRICANT DE CARBONE,True
MIAVA VARY,51,MIA VARIER,True
MPAMBOLY VARY SY KATSAKA,51,PRODUCTEURS DE RIZ ET DE MAÏS,True
MPIVAROTRA LEGUME,51,COMMERÇANTS DE LÉGUMES,True
MANJAITRA AKANJO,51,VÊTEMENTS DE COUTURE,True
MPANAMPY AN TRANO,50,AIDE À DOMICILE,True
MIVAROTRA HENA,50,VENDRE DE LA VIANDE,True
MAMBOLY VOMANGA,50,PLANTER DES POMMES DE TERRE,True
MANDRAFITRA TRANO,49,PLANIFIER UNE MAISON,True
MANAO SARAKA,49,SÉPARÉ,True
MAMBOLY OVY,49,PLANTER DES POMMES DE TERRE,True
MIVAROTRA VARY FOTSY,49,VENDRE DU RIZ BLANC,True
