variabledescription
hhgrap,Numéro de grappe
poids,Pondération,
hhnum,NumMENAGE
idhh,
q1_0x,ID Individu
q1_00,ID correspondant
q1_01,Sexe
q1_02,Lien de parenté
q1_04m,Âge, mois
q1_05,Acte de naissance
q1_06,Acte de naissance montré
q1_07,Situation matrimoniale
q1_08,Âge au 1er mariage
q1_09,Présent au moment de l'enquête
q1_10,Vit de manière continue dans HH depuis au moins 6 mois
q1_11,a l'intention de rester HH pour au moins 6 mois
q1_11a,Situation de résidence
q1_04a,
q1_12,Religion
q1_13,Nationalité
q1_14,Né dans cette commune
q1_15,a déjà vécu dans une autre commune > 6 mois
q1_16,Dernière commune avant de venir vivre ici
q1_17,# années dans cette commune avant de venir vivre ici
q1_18,Raison principale venir vivre ici
q1_19,Le père habite dans HH
q1_20,ID père
q1_21,Le père est en vie
q1_22,La mère habite dans HH
q1_23,ID mère
q1_24,La mère est en vie
q1_25,Possède un tél
q1_26,a utilisé un tél 7 derniers jours
q1_27,Dép.crédits de comm. 7 derniers jours
q1_28a,Accès internet : sur tél
q1_28b,… au bureau
q1_28c,… au cybercafé
q1_28d,… à domicile
q1_28e,… à l'école / université
q1_29,Compte mail
q1_30,Utilisateur de réseaux sociaux
q1_31a,Facebook
q1_31b,Gazouillement
q1_31c,LinkedIn
q1_31d,MySpace
q1_31f,Instagram
q1_31g,TikTok
q1_31e,Autre
q1_32,Durée de connexion par jour, minutes
q1_33,Difficultés pour voir même avec des lunettes
q1_34,… entendre même avec prothèse auditive
q1_35,… marcher ou monter les escaliers
q1_36,… se rappeler certaines choses ou se concentrer
q1_37,… prendre soin de soi, se laver, s'habiller…
q1_38,… communiquer dans la langue habituelle, comprendre les autres…
q1_39,Un handicap mental ou physique
q1_40,La principale cause de la difficulté
fsect1,Section aileron I
q4a_00,Code ID du répondant
q4a_01,7 derniers jours, effectué un travail…
q4a_02,… a dirigé une entreprise…
q4a_03,… contribué sans rémunération…
q4a_04,Bien que… a effectué un travail…
q4a_05,Pourquoi n'est pas allé au travail les 7 derniers jours
q4a_06,a continué pendant la basse / fin de saison ou covid-19
q4a_07,Y retounerez-vous dans 3 mois ou moins
q4a_08,Continuer à recevoir un revenu de l'emploi pendant l'absence
q4a_09,au cours des 7 derniers jours, a effectué un travail…
q4a_10,L'emploi consiste à …
q4a_11,Destination des produits
q4a_12,Dans le passé : vente ou usage familial
q4a_13,un été recruté
q4a_141,… Code NOMAP
q4a_15,# jours pour ce travail
q4a_16,# heures par jour
q4a_17,# emplois ou activités professionnelles
q4a_18,Profession
q4a_19,CITP
q4a_19a,CITPa
q4a_19b,CITPb
q4a_19c,CITPc
q4a_19d,CITPd
q4a_20,L'établissement ou l'entreprise à un nom
q4a_21,Nom
q4a_22,Activité principale
q4a_23,NOMAC
q4a_230,NOMAC0
q4a_23a,NOMACa
q4a_23b,NOMAb
q4a_23c,NOMAcc
q4a_24,Statut dans l'emploi
q4a_25,Qui prend les décisions
q4a_26,Engage des salariés
q4a_27,Secteur institutionnel
q4a_28,Type de paiement
q4a_29,Contrat écrit ou verbal
q4a_30,Type de contrat
q4a_31,Durée du contrat actuel
q4a_32,Employeur vers CNAPS/Fonds de pension
q4a_32a,Services affiliés médicaux
q4a_33,Congé payé annuel
q4a_34,# jours de congé jouis 12 derniers mois
q4a_35,Congé maladie en cas de maladie ou de blessure
q4a_36,Endroit de travail habituel
q4a_37,# personnes travaillant sur votre lieu de travail
q4a_38,Forme juridique ?
q4a_39,Numéro statistique
q4a_40,Type de comptabilité ou enregistrement comptable
q4a_41,Date de début dans l'entreprise, année
q4a_42,Date de début dans l'entreprise, mois
q4a_43,Congés de maternité / paternité
q4a_44,# jours de congé de maternité / paternité
q4a_45,Bulletin de salaire
q4a_46a,Montant salaire
q4a_46b,Unité de temps
q4a_46c,Responsabilité Déduction fiscale
q4a_47,Nombres premiers ?
q4a_48a,Montant premiers
q4a_48b,Unité de temps
q4a_49,Autres avantages
q4a_49a,Loyer
q4a_49b,Vêtements
q4a_49c,Carburant ou transport
q4a_49d,Domestiques
q4a_49e,Autres avantages
q4a_50a,Montant de ces avantages
q4a_50b,Unité de temps
q4a_51,Nourritures ?
q4a_52a,Montant nourriture
q4a_52b,Unité de temps
q4a_53,Niveau de satisfaction sur l'emploi
q4a_541,Profession 2ème emploi
q4a_54,CITP
q4a_54a,CITPa
q4a_54b,CITPb
q4a_54c,CITPc
q4a_54d,CITPd
q4a_55,Activité principale de l'entreprise
q4a_56,NOMAC
q4a_560,NOMAC0
q4a_56a,NOMACa
q4a_56b,NOMAb
q4a_56c,NOMAcc
q4a_57,Statut dans l'emploi
q4a_58,L'entreprise engage régulièrement des salariés
q4a_59,Type de paiement
q4a_60,Déduction des impôts
q4a_61,Secteur institutionnel
q4a_62a,Montant salaire, 1000 MGA
q4a_62b,Unité de temps
q4a_63,Nombres premiers ?
q4a_64a,Montant primes, 1000 MGA
q4a_64b,Unité de temps
q4a_65,Autres avantages
q4a_66a,Montant de ces avantages, 1000 MGA
q4a_66b,Unité de temps
q4a_67,Nourritures ?
q4a_68a,Montant nourriture, 1000 MGA
q4a_68b,Unité de temps
q4a_69,# heures par semaine
q4a_70,# jours par semaine
q4a_71,# heures par jour
q4a_72,Absent ou en congé les 7 derniers jours
q4a_73,Heures sup les 7 derniers jours
q4a_74,# heures sup les 7 derniers jours
q4a_75,# heures total les 7 derniers jours
q4a_76,# heures par semaine
q4a_77,Est-ce # heures effectives, 7 derniers jours ?
q4a_78,# heures effectifs, 7 derniers jours
q4a_79,Autre emploi, 7 derniers jours
q4a_80,# heures par semaine, tous autres emplois
q4a_81,Est-ce # heures effectives la semaine dernière ?
q4a_82,# heures 7 derniers jours, tous autres emplois
q4a_83,30 derniers jours recherche un emploi
q4a_84,Souhaite travailler davantage ?
q4a_85,Pourrait commencer à travailler davantage 2 proch.semaines
q4a_86,# heures sup par semaine
q4a_87,Souhaite changer la situation actuelle
q4a_88,Situation qui change la raison principale
q4a_89,7 derniers jours, planteur… , cultures…
q4a_90,Principales cultures conso ménages
q4a_91,# jours durant la semaine dernière
q4a_92,# heure par jour durant la semaine dernière
q4a_93a,Autre activité pour nourriture ménage a
q4a_93b,Autre activité pour nourriture ménage b
q4a_94,# jours durant la semaine dernière
q4a_95,# heures par jour au total semaine dernière
q4a_96,Recherche autre emploi 30 derniers jours
q4a_97,Lancer son activité professionnelle
q4a_98,Action pour trouver un emploi…
q4a_99,Autres actions pour trouver un emploi ?
q4b_00,Ces autres actions…
q4b_01,Depuis combien de temps essaie de trouver un emploi…
q4b_02,a recherché un travail ou lancer une activité
q4b_03,Actuellement travaillerait si emploi
q4b_04,Principale raison n'a pas essayé de trouver…
q4b_05,Va commencer cet emploi/activité dans…
q4b_06,Pouvait commencer à travailler la semaine dernière
q4b_07,Pourrait commencer à travailler deux semaines prochaines
q4b_08,Si NON, pourquoi
q4b_09,La situation principale actuellement
q4b_10,7 derniers jours, un cueilli des plantes sauvages
q4b_11,Combien d'heures
q4b_12,un chassé de la viande de brousse
q4b_13,Combien d'heures
q4b_14,a préparé des aliments conservés…
q4b_15,Combien d'heures
q4b_16,Travaux de construction
q4b_17,Combien d'heures
q4b_18,Fabriquer des produits pour HH / famille
q4b_19,Combien d'heures
q4b_20,Collecteur de l'eau
q4b_21,Combien d'heures
q4b_22,Collecteur de bois de chauffe
q4b_23,Combien d'heures
q4c_01,Opportunités d'emploi pendant la crise sanitaire
q4c_02,Effectué un travail avant le début de la crise sanitaire
q4c_03,Le même emploi qu'avant le début de la crise sanitaire
q4c_04,a quitté son emploi d'avant le début de la crise
q4c_05,Pourquoi ?
q4c_05a,Raisons liées à Covid19
q4c_06,Activité principale avant le début de la crise
q4c_06a,Branche de code
q4c_06a1,Branche de code 1
q4c_06a2,Branche de code 2
q4c_06a3,Branche de code 3
